Test Case,Initial Position,Initial Velocity,Setpoint,Controller,Settling Time,Overshoot,Steady-State Error
Standard Case,0.0,0.0,0.5,Fuzzy,3.0500000000000003,6.973587089707234,0.012920188760005946
Standard Case,0.0,0.0,0.5,PID,3.69,5.4016711558509956,0.027008355779254978
Distant Start,-0.8,0.0,0.5,Fuzzy,4.14,9.357868879696385,0.02376877587774351
Distant Start,-0.8,0.0,0.5,PID,4.66,1.0745925735333506,0.005372962867666753
Initial Velocity,0.0,0.3,0.5,Fuzzy,2.7800000000000002,7.185205296241315,0.002544545990530611
Initial Velocity,0.0,0.3,0.5,PID,3.12,9.051670192372407,0.04525835096186204
Negative Setpoint,0.0,0.0,-0.3,Fuzzy,1.45,11.396142830643551,0.02438820501825223
Negative Setpoint,0.0,0.0,-0.3,PID,4.99,0.0,0.039153848518234224
Distant With Velocity,0.7,-0.2,-0.2,Fuzzy,3.54,24.88834881076571,0.026121979147658292
Distant With Velocity,0.7,-0.2,-0.2,PID,4.99,13.219480313989285,0.02643896062797857
